run	ls	alcatracks	mode	mode_flag	mode_text
275295	84	680	DECO	GOOD	from_both_DB_and_S/N
282925	31	1540	DECO	GOOD	from_both_DB_and_S/N
273469	235	13437	DECO	GOOD	from_both_DB_and_S/N
266421	85	2259	DECO	GOOD	from_both_DB_and_S/N
273473	13	676	DECO	GOOD	from_both_DB_and_S/N
273474	1241	72853	DECO	GOOD	from_both_DB_and_S/N
275525	7	281	DECO	GOOD	from_both_DB_and_S/N
275526	16	837	DECO	GOOD	from_both_DB_and_S/N
275529	19	1070	DECO	GOOD	from_both_DB_and_S/N
275534	32	1885	DECO	GOOD	from_both_DB_and_S/N
266424	180	4741	DECO	GOOD	from_both_DB_and_S/N
273495	53	3037	DECO	GOOD	from_both_DB_and_S/N
279644	182	10272	DECO	GOOD	from_both_DB_and_S/N
281694	12	587	DECO	GOOD	from_both_DB_and_S/N
267362	7	15	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
267363	13	32	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
267364	9	24	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
275558	26	1434	DECO	GOOD	from_both_DB_and_S/N
267368	9	10	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
275561	100	5913	DECO	GOOD	from_both_DB_and_S/N
267370	9	8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
267374	11	124	DECO	GOOD	from_both_DB_and_S/N
267375	791	18547	DECO	GOOD	from_both_DB_and_S/N
267376	81	1777	DECO	GOOD	from_both_DB_and_S/N
267377	50	584	DECO	GOOD	from_both_DB_and_S/N
279888	7	202	DECO	GOOD	from_both_DB_and_S/N
267380	5	38	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
267382	193	471	DECO	GOOD	from_both_DB_and_S/N
279671	110	5690	DECO	GOOD	from_both_DB_and_S/N
275576	24	1354	DECO	GOOD	from_both_DB_and_S/N
279674	216	12538	DECO	GOOD	from_both_DB_and_
